Sl No.,Easting,Northing,Distance,Elevation,CS No.,
1040,771196.0,2575175.2,118.41,-9.396,14,
1041,771195.0,2575176.0,119.66,-9.731,14,
1042,771192.0,2575178.3,123.42,-10.437,14,
1043,771189.7,2575180.0,126.31,-10.865,14,
1044,771188.0,2575181.3,128.43,-11.005,14,
1045,771184.4,2575184.0,132.96,-10.990,14,
1046,771184.0,2575184.3,133.44,-10.973,14,
1047,771180.0,2575187.3,138.44,-10.646,14,
1048,771179.1,2575188.0,139.61,-10.565,14,
1049,771176.0,2575190.3,143.45,-10.231,14,
1050,771173.8,2575192.0,146.25,-9.966,14,
1051,771172.0,2575193.3,148.46,-9.766,14,
1052,771168.5,2575196.0,152.90,-9.332,14,
1053,771168.0,2575196.3,153.47,-9.280,14,
1054,771164.0,2575199.4,158.48,-8.740,14,
1055,771163.1,2575200.0,159.55,-8.607,14,
1056,771160.0,2575202.4,163.48,-8.110,14,
1057,771157.8,2575204.0,166.20,-7.798,14,
1058,771156.0,2575205.4,168.49,-7.545,14,
1059,771152.5,2575208.0,172.85,-7.036,14,
1060,771152.0,2575208.4,173.50,-6.976,14,
1061,771148.0,2575211.4,178.51,-6.402,14,
1062,771147.2,2575212.0,179.50,-6.270,14,
1063,771144.0,2575214.4,183.52,-5.809,14,
1064,771141.9,2575216.0,186.14,-5.420,14,
1065,771140.0,2575217.4,188.52,-5.073,14,
1066,771136.6,2575220.0,192.79,-4.540,14,
1067,771136.0,2575220.4,193.53,-4.435,14,
1068,771132.0,2575223.5,198.54,-3.715,14,
1069,771131.3,2575224.0,199.44,-3.599,14,
1070,771128.0,2575226.5,203.55,-3.059,14,
1071,771126.0,2575228.0,206.09,-2.758,14,
1072,771124.0,2575229.5,208.55,-2.492,14,
1073,771120.7,2575232.0,212.74,-2.098,14,
1074,771120.0,2575232.5,213.56,-2.020,14,
1075,771116.0,2575235.5,218.57,-1.595,14,
1076,771115.3,2575236.0,219.39,-1.536,14,
1077,771112.0,2575238.5,223.58,-1.263,14,
1078,771110.0,2575240.0,226.03,-1.106,14,
1079,771108.0,2575241.5,228.59,-0.942,14,
1080,771104.7,2575244.0,232.68,-0.742,14,
1081,771104.0,2575244.5,233.59,-0.702,14,
1082,771100.0,2575247.6,238.60,-0.462,14,
1083,771099.4,2575248.0,239.33,-0.428,14,
1084,771096.0,2575250.6,243.61,-0.341,14,
1085,771094.1,2575252.0,245.98,-0.247,14,
1086,771092.0,2575253.6,248.62,-0.149,14,
1087,771088.8,2575256.0,252.63,-0.069,14,
1088,771088.6,2575256.1,252.84,-0.064,14,
1089,771301.1,2575081.4,0.00,5.689,15,
1090,771300.0,2575082.3,8.49,5.384,15,
1091,771297.8,2575084.0,24.43,5.067,15,
1092,771296.0,2575085.4,33.76,5.099,15,
1093,771292.7,2575088.0,34.93,4.268,15,
1094,771292.0,2575088.6,36.94,3.800,15,
1095,771288.0,2575091.7,37.97,2.699,15,
1096,771287.6,2575092.0,39.40,2.099,15,
1097,771284.0,2575094.8,41.56,1.251,15,
1098,771282.5,2575096.0,43.70,0.597,15,
1099,771280.0,2575098.0,47.09,0.175,15,
1100,771277.4,2575100.0,49.55,0.093,15,
1101,771276.0,2575101.1,52.17,-0.175,15,
1102,771272.3,2575104.0,56.04,-0.626,15,
1103,771272.0,2575104.2,57.25,-0.874,15,
1104,771268.0,2575107.4,62.33,-2.185,15,
1105,771267.2,2575108.0,62.53,-2.237,15,
1106,771264.0,2575110.5,67.41,-3.868,15,
1107,771246.7,2575124.0,69.01,-4.638,15,
1108,771244.0,2575126.1,72.49,-5.487,15,
1109,771241.6,2575128.0,75.50,-6.338,15,
1110,771240.0,2575129.3,77.57,-7.137,15,
1111,771236.5,2575132.0,81.99,-8.875,15,
1112,771236.0,2575132.4,82.65,-9.160,15,
1113,771232.0,2575135.5,87.74,-10.955,15,
1114,771231.4,2575136.0,88.48,-11.055,15,
1115,771228.0,2575138.7,92.82,-11.809,15,
1116,771226.3,2575140.0,94.96,-12.153,15,
1117,771224.0,2575141.8,97.90,-12.504,15,
1118,771221.2,2575144.0,101.45,-12.843,15,
1119,771220.0,2575144.9,102.98,-12.966,15,
1120,771216.1,2575148.0,107.94,-13.213,15,
1121,771216.0,2575148.1,108.06,-13.210,15,
1122,771212.0,2575151.2,113.14,-12.792,15,
1123,771211.0,2575152.0,114.43,-12.625,15,
1124,771208.0,2575154.3,118.22,-11.994,15,
1125,771205.9,2575156.0,120.91,-11.596,15,
1126,771204.0,2575157.5,123.30,-11.156,15,
1127,771200.8,2575160.0,127.40,-10.382,15,
1128,771200.0,2575160.6,128.38,-10.196,15,
1129,771196.0,2575163.7,133.46,-9.377,15,
1130,771195.7,2575164.0,133.89,-9.324,15,
1131,771192.0,2575166.9,138.54,-9.253,15,
1132,771190.6,2575168.0,140.38,-9.358,15,
1133,771188.0,2575170.0,143.62,-9.961,15,
1134,771185.4,2575172.0,146.86,-10.348,15,
1135,771184.0,2575173.1,148.70,-10.564,15,
1136,771180.3,2575176.0,153.35,-10.720,15,
1137,771180.0,2575176.3,153.78,-10.715,15,
1138,771176.0,2575179.4,158.86,-10.586,15,
1139,771175.2,2575180.0,159.84,-10.560,15,
1140,771172.0,2575182.5,163.94,-10.383,15,
1141,771170.1,2575184.0,166.33,-10.287,15,
1142,771168.0,2575185.7,169.03,-10.108,15,
1143,771165.0,2575188.0,172.82,-9.877,15,
1144,771164.0,2575188.8,174.11,-9.750,15,
1145,771160.0,2575191.9,179.19,-9.074,15,
1146,771159.9,2575192.0,179.30,-9.063,15,
1147,771156.0,2575195.1,184.27,-8.553,15,
1148,771154.8,2575196.0,185.79,-8.446,15,
1149,771152.0,2575198.2,189.35,-8.087,15,
1150,771149.7,2575200.0,192.28,-7.746,15,
1151,771148.0,2575201.3,194.43,-7.489,15,
1152,771144.6,2575204.0,198.77,-6.913,15,
1153,771144.0,2575204.5,199.51,-6.818,15,
1154,771140.0,2575207.6,204.59,-6.097,15,
1155,771139.5,2575208.0,205.25,-5.998,15,
1156,771136.0,2575210.7,209.67,-5.342,15,
1157,771134.4,2575212.0,211.74,-5.034,15,
1158,771132.0,2575213.9,214.75,-4.587,15,
1159,771129.3,2575216.0,218.23,-4.062,15,
1160,771128.0,2575217.0,219.83,-3.833,15,
1161,771124.2,2575220.0,224.72,-2.983,15,
1162,771124.0,2575220.1,224.91,-2.955,15,
1163,771120.0,2575223.3,229.99,-2.404,15,
1164,771119.0,2575224.0,231.20,-2.282,15,
1165,771116.0,2575226.4,235.07,-1.974,15,
1166,771113.9,2575228.0,237.69,-1.722,15,
