N,E,Date,Time,RL,Others,Section No
2646763.41,715628.01,16-11-2024,37:44.6,5,-46.99,2
2646763.33,715626.86,16-11-2024,37:45.7,5.06,-47.01,2
2646763.24,715625.71,16-11-2024,37:46.8,5.12,-47.04,2
2646763.14,715624.56,16-11-2024,37:47.7,5.17,-47.08,2
2646763.05,715623.42,16-11-2024,37:48.7,5.23,-47.13,2
2646762.97,715622.28,16-11-2024,37:49.7,5.29,-47.13,2
2646762.91,715621.18,16-11-2024,37:50.7,5.38,-47.19,2
2646762.87,715620.13,16-11-2024,37:51.8,5.47,-47.31,2
2646762.83,715619.09,16-11-2024,37:52.7,5.56,-47.39,2
2646762.78,715618.05,16-11-2024,37:53.7,5.64,-47.45,2
2646762.76,715617.01,16-11-2024,37:54.7,5.76,-47.58,2
2646762.79,715616.01,16-11-2024,37:55.7,5.89,-47.75,2
2646762.83,715615.01,16-11-2024,37:56.8,6.01,-47.89,2
2646762.87,715614.02,16-11-2024,37:57.7,6.14,-48.03,2
2646762.92,715613.06,16-11-2024,37:58.7,6.25,-48.15,2
2646763,715612.12,16-11-2024,37:59.7,6.35,-48.29,2
2646763.1,715611.22,16-11-2024,38:00.7,6.46,-48.43,2
2646763.23,715610.35,16-11-2024,38:01.8,6.52,-48.52,2
2646763.37,715609.5,16-11-2024,38:02.7,6.58,-48.58,2
2646763.56,715608.66,16-11-2024,38:03.7,6.64,-48.67,2
2646763.78,715607.87,16-11-2024,38:04.7,6.7,-48.75,2
2646764.04,715607.11,16-11-2024,38:05.7,6.71,-48.8,2
2646764.33,715606.37,16-11-2024,38:06.9,6.73,-48.84,2
2646764.64,715605.65,16-11-2024,38:07.7,6.72,-48.79,2
2646765.01,715604.96,16-11-2024,38:08.7,6.69,-48.76,2
2646765.41,715604.3,16-11-2024,38:09.7,6.67,-48.73,2
2646765.83,715603.66,16-11-2024,38:10.7,6.57,-48.63,2
2646766.29,715603.04,16-11-2024,38:11.8,6.49,-48.56,2
2646766.78,715602.45,16-11-2024,38:12.7,6.4,-48.46,2
2646767.27,715601.89,16-11-2024,38:13.7,6.25,-48.3,2
2646767.77,715601.35,16-11-2024,38:14.7,6.1,-48.14,2
2646768.28,715600.84,16-11-2024,38:15.8,5.92,-47.95,2
2646768.78,715600.34,16-11-2024,38:16.8,5.74,-47.76,2
2646769.28,715599.87,16-11-2024,38:17.7,5.52,-47.5,2
2646769.77,715599.42,16-11-2024,38:18.7,5.31,-47.27,2
2646770.25,715599,16-11-2024,38:19.7,5.07,-47.02,2
2646770.73,715598.6,16-11-2024,38:20.7,4.82,-46.73,2
2646771.18,715598.22,16-11-2024,38:21.8,4.61,-46.5,2
2646771.64,715597.85,16-11-2024,38:22.7,4.48,-46.36,2
2646772.07,715597.5,16-11-2024,38:23.7,4.33,-46.17,2
2646772.45,715597.19,16-11-2024,38:24.7,4.21,-46.04,2
2646772.82,715596.89,16-11-2024,38:25.7,4.08,-45.92,2
2646773.19,715596.59,16-11-2024,38:26.8,3.94,-45.78,2
2646774.09,715601.77,16-11-2024,38:59.7,7.18,-49.17,3
2646774.36,715602.34,16-11-2024,39:00.7,7.33,-49.27,3
2646774.59,715602.93,16-11-2024,39:01.8,7.41,-49.33,3
2646774.85,715603.55,16-11-2024,39:02.7,7.51,-49.45,3
2646775.07,715604.19,16-11-2024,39:03.7,7.63,-49.62,3
2646775.28,715604.88,16-11-2024,39:04.7,7.7,-49.65,3
2646775.53,715605.63,16-11-2024,39:05.8,7.76,-49.73,3
2646775.73,715606.43,16-11-2024,39:06.8,7.91,-49.91,3
2646775.94,715607.29,16-11-2024,39:07.7,8.05,-50.08,3
2646776.1,715608.21,16-11-2024,39:08.7,8.15,-50.18,3
2646776.25,715609.2,16-11-2024,39:09.7,8.2,-50.26,3
2646776.4,715610.25,16-11-2024,39:10.8,8.22,-50.28,3
