N,E,RL,Section No,pointno
2646764.33,715606.37,6.73,2,P159
2646764.64,715605.65,6.72,2,P160
2646765.01,715604.96,6.69,2,P161
2646765.41,715604.3,6.67,2,P162
2646765.83,715603.66,6.57,2,P163
2646766.29,715603.04,6.49,2,P164
2646766.78,715602.45,6.4,2,P165
2646767.27,715601.89,6.25,2,P166
2646767.77,715601.35,6.1,2,P167
2646768.28,715600.84,5.92,2,P168
2646768.78,715600.34,5.74,2,P169
2646769.28,715599.87,5.52,2,P170
2646769.77,715599.42,5.31,2,P171
2646770.25,715599,5.07,2,P172
2646770.73,715598.6,4.82,2,P173
2646771.18,715598.22,4.61,2,P174
2646771.64,715597.85,4.48,2,P175
2646772.07,715597.5,4.33,2,P176
2646772.45,715597.19,4.21,2,P177
2646772.82,715596.89,4.08,2,P178
2646773.19,715596.59,3.94,2,P179
2646774.09,715601.77,7.18,3,P180
2646774.36,715602.34,7.33,3,P181
2646774.59,715602.93,7.41,3,P182
2646774.85,715603.55,7.51,3,P183
2646775.07,715604.19,7.63,3,P184
2646775.28,715604.88,7.7,3,P185
2646775.53,715605.63,7.76,3,P186
2646775.73,715606.43,7.91,3,P187
2646775.94,715607.29,8.05,3,P188
2646776.1,715608.21,8.15,3,P189
2646776.25,715609.2,8.2,3,P190
2646776.4,715610.25,8.22,3,P191
2646776.53,715611.38,8.17,3,P192
2646776.64,715612.57,8.06,3,P193
2646776.77,715613.8,7.88,3,P194
2646776.91,715615.07,7.66,3,P195
2646777.06,715616.37,7.44,3,P196
2646777.21,715617.67,7.21,3,P197
2646777.4,715619,6.96,3,P198
2646777.6,715620.28,6.68,3,P199
2646777.78,715621.55,6.4,3,P200
2646777.95,715622.81,6.13,3,P201
2646778.11,715624.11,5.86,3,P202
2646778.28,715625.44,5.64,3,P203
2646778.39,715626.78,5.41,3,P204
2646778.47,715628.15,5.21,3,P205
2646778.5,715629.54,5.02,3,P206
2646778.52,715630.93,4.82,3,P207
2646778.49,715632.34,4.63,3,P208
2646778.42,715633.75,4.43,3,P209
2646778.34,715635.17,4.23,3,P210
2646778.22,715636.62,4.03,3,P211
2646778.07,715638.09,3.86,3,P212
2646777.88,715639.52,3.71,3,P213
2646777.69,715640.94,3.58,3,P214
2646777.48,715642.37,3.46,3,P215
2646777.27,715643.77,3.33,3,P216
2646777.06,715645.15,3.21,3,P217
2646776.82,715646.53,3.09,3,P218
2646776.63,715647.91,2.98,3,P219
