Northing,Easting,RL,
2646763.14,715624.56,2.25,
2646763.05,715623.42,2.19,
2646762.97,715622.28,2.13,
2646762.91,715621.18,2.04,
2646762.87,715620.13,1.95,
2646762.83,715619.09,1.86,
2646762.78,715618.05,1.78,
2646762.76,715617.01,1.66,
2646762.79,715616.01,1.53,
2646762.83,715615.01,1.41,
2646762.87,715614.02,1.28,
2646762.92,715613.06,1.17,
2646763,715612.12,1.07,
2646763.1,715611.22,0.96,
2646763.23,715610.35,0.9,
2646763.37,715609.5,0.84,
2646763.56,715608.66,0.78,
2646763.78,715607.87,0.72,
2646764.04,715607.11,0.71,
2646764.33,715606.37,0.69,
2646764.64,715605.65,0.7,
2646765.01,715604.96,0.73,
2646765.41,715604.3,0.75,
2646765.83,715603.66,0.85,
2646766.29,715603.04,0.93,
2646766.78,715602.45,1.02,
2646767.27,715601.89,1.17,
2646767.77,715601.35,1.32,
2646768.28,715600.84,1.5,
2646768.78,715600.34,1.68,
2646769.28,715599.87,1.9,
2646769.77,715599.42,2.11,
2646770.25,715599,2.35,
2646770.73,715598.6,2.6,
2646771.18,715598.22,2.81,
2646771.64,715597.85,2.94,
2646772.07,715597.5,3.09,
2646772.45,715597.19,3.21,
2646772.82,715596.89,3.34,
2646773.19,715596.59,3.48,
2646774.09,715601.77,0.24,
2646774.36,715602.34,0.09,
2646774.59,715602.93,0.01,
2646774.85,715603.55,-0.09,
2646775.07,715604.19,-0.21,
2646775.28,715604.88,-0.28,
2646775.53,715605.63,-0.34,
2646775.73,715606.43,-0.49,
2646775.94,715607.29,-0.63,
2646776.1,715608.21,-0.73,
2646776.25,715609.2,-0.78,
2646776.4,715610.25,-0.8,
2646776.53,715611.38,-0.75,
2646776.64,715612.57,-0.64,
2646776.77,715613.8,-0.46,
2646776.91,715615.07,-0.24,
2646777.06,715616.37,-0.02,
2646777.21,715617.67,0.21,
2646777.4,715619,0.46,
2646777.6,715620.28,0.74,
2646777.78,715621.55,1.02,
2646777.95,715622.81,1.29,
2646778.11,715624.11,1.56,
2646778.28,715625.44,1.78,
2646778.39,715626.78,2.01,
2646778.47,715628.15,2.21,
2646778.5,715629.54,2.4,
2646778.52,715630.93,2.6,
2646778.49,715632.34,2.79,
2646778.42,715633.75,2.99,
