715607.11,2646764.04,0.71
715606.37,2646764.33,0.69
715605.65,2646764.64,0.7
715604.96,2646765.01,0.73
715604.3,2646765.41,0.75
715603.66,2646765.83,0.85
715603.04,2646766.29,0.93
715602.45,2646766.78,1.02
715601.89,2646767.27,1.17
715601.35,2646767.77,1.32
715600.84,2646768.28,1.5
715600.34,2646768.78,1.68
715599.87,2646769.28,1.9
715599.42,2646769.77,2.11
715599,2646770.25,2.35
715598.6,2646770.73,2.6
715598.22,2646771.18,2.81
715597.85,2646771.64,2.94
715597.5,2646772.07,3.09
715597.19,2646772.45,3.21
715596.89,2646772.82,3.34
715596.59,2646773.19,3.48
715601.77,2646774.09,0.24
715602.34,2646774.36,0.09
715602.93,2646774.59,0.01
715603.55,2646774.85,-0.09
715604.19,2646775.07,-0.21
715604.88,2646775.28,-0.28
715605.63,2646775.53,-0.34
715606.43,2646775.73,-0.49
715607.29,2646775.94,-0.63
715608.21,2646776.1,-0.73
715609.2,2646776.25,-0.78
715610.25,2646776.4,-0.8
715611.38,2646776.53,-0.75
715612.57,2646776.64,-0.64
715613.8,2646776.77,-0.46
715615.07,2646776.91,-0.24
715616.37,2646777.06,-0.02
715617.67,2646777.21,0.21
715619,2646777.4,0.46
715620.28,2646777.6,0.74
715621.55,2646777.78,1.02
715622.81,2646777.95,1.29
715624.11,2646778.11,1.56
715625.44,2646778.28,1.78
715626.78,2646778.39,2.01
715628.15,2646778.47,2.21
715629.54,2646778.5,2.4
715630.93,2646778.52,2.6
715632.34,2646778.49,2.79
715633.75,2646778.42,2.99
715635.17,2646778.34,3.19
715636.62,2646778.22,3.39
715638.09,2646778.07,3.56
715639.52,2646777.88,3.71
715640.94,2646777.69,3.84
715642.37,2646777.48,3.96
715643.77,2646777.27,4.09
715645.15,2646777.06,4.21
715646.53,2646776.82,4.33
715647.91,2646776.63,4.44
715649.27,2646776.44,4.54
715650.61,2646776.26,4.62
715651.9,2646776.1,4.71
715653.18,2646775.93,4.79
715654.44,2646775.79,4.87
715655.68,2646775.65,4.94
715656.9,2646775.51,4.99
715658.09,2646775.37,5.05
715659.25,2646775.26,5.1
715660.4,2646775.14,5.16
715661.53,2646775.02,5.21
715662.65,2646774.92,5.27
715663.75,2646774.82,5.34
715664.84,2646774.71,5.39
715665.93,2646774.6,5.44
715666.99,2646774.48,5.48
715668.06,2646774.39,5.53
715669.12,2646774.3,5.58
715670.16,2646774.2,5.63
715671.19,2646774.09,5.67
715672.22,2646773.99,5.71
715673.23,2646773.9,5.75
715674.23,2646773.8,5.78
715675.26,2646773.69,5.81
715676.28,2646773.61,5.83
715677.29,2646773.52,5.86
715678.3,2646773.42,5.88
715679.31,2646773.33,5.86
715680.3,2646773.23,5.99
715681.28,2646773.13,6.11
715682.25,2646773.03,6.06
715683.23,2646772.92,6.06
715684.2,2646772.85,6.08
715685.2,2646772.76,6.09
715686.16,2646772.76,6.12
715687.07,2646772.85,6.15
715691.25,2646780.16,5.3
715690.81,2646780.35,5.2
715690.37,2646780.54,5.31
715689.9,2646780.68,5.25
715689.46,2646780.83,5.32
715688.96,2646780.97,5.38
715688.4,2646781.13,5.44
715687.76,2646781.3,5.47
715687.05,2646781.46,5.51
715686.28,2646781.64,5.57
715685.42,2646781.79,5.64
715684.47,2646781.95,5.69
715683.46,2646782.09,5.74
715682.4,2646782.23,5.7
715681.26,2646782.36,5.76
715680.06,2646782.51,5.72
715678.79,2646782.65,5.68
715677.45,2646782.78,5.63
715676.07,2646782.89,5.58
715674.62,2646783.01,5.54
715673.13,2646783.1,5.47
715671.61,2646783.18,5.41
715670.05,2646783.25,5.35
715668.45,2646783.35,5.29
715666.82,2646783.41,5.23
715665.17,2646783.46,5.16
715663.5,2646783.49,5.09
715661.84,2646783.53,5.01
715660.17,2646783.55,4.94
715658.54,2646783.56,4.88
715656.89,2646783.58,4.83
715655.25,2646783.59,4.78
715653.64,2646783.6,4.72
715652.05,2646783.61,4.66
715650.47,2646783.61,4.6
715648.94,2646783.61,4.54
715647.42,2646783.58,4.47
715645.93,2646783.55,4.4
715644.48,2646783.54,4.31
715643.07,2646783.53,4.19
715641.72,2646783.54,4.06
715640.42,2646783.54,3.91
715639.16,2646783.55,3.75
715637.92,2646783.58,3.58
715636.71,2646783.62,3.42
715635.52,2646783.69,3.24
715634.32,2646783.8,3.07
715633.15,2646783.92,2.89
715631.98,2646784.07,2.7
715630.86,2646784.23,2.53
715629.74,2646784.39,2.36
715628.64,2646784.56,2.17
715627.54,2646784.73,1.99
715626.46,2646784.92,1.81
715625.41,2646785.12,1.62
715624.39,2646785.35,1.4
715623.39,2646785.6,1.18
715622.4,2646785.84,0.91
715621.42,2646786.1,0.64
715620.48,2646786.38,0.37
715619.54,2646786.66,0.11
