2025-03-03 13:20:40,151 - __main__ - 12 - DEBUG - Sucessfully Setup Logger for this programme.............
2025-03-03 13:20:40,496 - __main__ - 54 - DEBUG - {'trial_no': 5, 'h': 3.712466099530335, 'Q_design': 17.667037495754535, 'n': 0.03, 's_0': 5e-05, 'B': 9, 'm': 2, 'A': 60.977003976096974, 'P': 25.60265312542666, 'R': 2.3816673872575778, 'T': 23.84986439812134, 'dp_dh': 4.47213595499958, 'R_2_3': 1.7834218089670977, 'R_5_3': 4.247517560140851, 'f_h': 33.792826636094574, 'f_prime_h': 61.52984430871553, 'h_calc': 3.1632557607791947, 'Q_calc': 25.632083119035826}
2025-03-03 13:20:40,496 - __main__ - 54 - DEBUG - {'trial_no': 6, 'h': 3.1632557607791947, 'Q_design': 17.667037495754535, 'n': 0.03, 's_0': 5e-05, 'B': 9, 'm': 2, 'A': 48.48167586321827, 'P': 23.146509822640184, 'R': 2.09455664092377, 'T': 21.65302304311678, 'dp_dh': 4.47213595499958, 'R_2_3': 1.6370479715149873, 'R_5_3': 3.4288897002475034, 'f_h': 4.411937027178396, 'f_prime_h': 50.78149836410619, 'h_calc': 3.0763749642429334, 'Q_calc': 18.706941025783156}
2025-03-03 13:20:40,497 - __main__ - 54 - DEBUG - {'trial_no': 7, 'h': 3.0763749642429334, 'Q_design': 17.667037495754535, 'n': 0.03, 's_0': 5e-05, 'B': 9, 'm': 2, 'A': 46.615540519427825, 'P': 22.75796708865137, 'R': 2.048317423864868, 'T': 21.305499856971736, 'dp_dh': 4.47213595499958, 'R_2_3': 1.6128655766482807, 'R_5_3': 3.3036606630005316, 'f_h': 0.22970854028805832, 'f_prime_h': 49.13732694671701, 'h_calc': 3.071700136478347, 'Q_calc': 17.721180317932586}
2025-03-03 13:20:40,499 - __main__ - 54 - DEBUG - {'trial_no': 8, 'h': 3.071700136478347, 'Q_design': 17.667037495754535, 'n': 0.03, 's_0': 5e-05, 'B': 9, 'm': 2, 'A': 46.51598468518732, 'P': 22.73706062332193, 'R': 2.0458222571423677, 'T': 21.286800545913387, 'dp_dh': 4.47213595499958, 'R_2_3': 1.6115554977966322, 'R_5_3': 3.296956106012498, 'f_h': 0.008198754487381166, 'f_prime_h': 49.04929639402097, 'h_calc': 3.0715329831226392, 'Q_calc': 17.66896996071964}
2025-03-03 13:20:40,550 - __main__ - 63 - DEBUG - 


########Displaying Trapozoidal Sections Propertied################

2025-03-03 13:20:40,551 - __main__ - 70 - DEBUG - Q=10.0 B=3.0 m=2.0 s_0=5e-05 n=0.03 SF=42.426406871192846
